id,name,party,partyLabel,votes,election,electionLabel,ranking
Q30164280,Wera Hobhouse,Q9624,Liberal Democrats (UK),28419,Q30173038,General election 2019,1
,Annabel Tall,Q9626,Conservative Party (UK),16097,Q30173038,General election 2019,2
,Mike Davies,Q9630,Labour Party (UK),6639,Q30173038,General election 2019,3
,Jimi Ogunnusi,Q61651140,Brexit Party,642,Q30173038,General election 2019,4
,Bill Blockhead,Q327591,Independent politician,341,Q30173038,General election 2019,5
Q30164280,Wera Hobhouse,Q9624,Liberal Democrats (UK),23436,Q25052149,General election 2017,1
Q19874398,Ben Howlett,Q9626,Conservative Party (UK),17742,Q25052149,General election 2017,2
,Joe Rayment,Q9630,Labour Party (UK),7279,Q25052149,General election 2017,3
,Eleanor Field,Q9669,Green Party of England and Wales,1125,Q25052149,General election 2017,4
Q19874398,Ben Howlett,Q9626,Conservative Party (UK),17833,Q3586935,General election 2015,1
,Steve Bradley,Q9624,Liberal Democrats (UK),14000,Q3586935,General election 2015,2
,Ollie Middleton,Q9630,Labour Party (UK),6216,Q3586935,General election 2015,3
,Dominic Tristram,Q9669,Green Party of England and Wales,5634,Q3586935,General election 2015,4
,Julian Deverell,Q10647,UK Independence Party,2922,Q3586935,General election 2015,5
,Loraine Morgan-Brinkhurst,Q327591,Independent (politician),499,Q3586935,General election 2015,6
,Jenny Knight,Q2479228,English Democrats Party,63,Q3586935,General election 2015,7
Q390737,Don Foster,Q9624,Liberal Democrats (UK),26651,Q215622,General election 2010,1
,Fabian Richter,Q9626,Conservative Party (UK),14768,Q215622,General election 2010,2
,Hattie Ajderian,Q9630,Labour Party (UK),3251,Q215622,General election 2010,3
,Eric Lucas,Q9669,Green Party of England and Wales,1120,Q215622,General election 2010,4
,Ernie Warrender,Q10647,UK Independence Party,890,Q215622,General election 2010,5
,Steve Hewett,Q3402978,Christian Party (UK),250,Q215622,General election 2010,6
,A.N.ON,Q327591,Independent (politician),69,Q215622,General election 2010,7
,Sean Geddis,Q327591,Independent (politician),56,Q215622,General election 2010,8
,Robert Craig,Q98544251,All The South Party,31,Q215622,General election 2010,9
Q390737,Don Foster,Q9624,Liberal Democrats (UK),20101,Q428598,General election 2005,1
,Sian Dawson,Q9626,Conservative Party (UK),15463,Q428598,General election 2005,2
,Harriet Ajderian,Q9630,Labour Party (UK),6773,Q428598,General election 2005,3
,Eric Lucas,Q9669,Green Party of England and Wales,2494,Q428598,General election 2005,4
,Richard Crowder,Q10647,UK Independence Party,770,Q428598,General election 2005,5
,Patrick Cobbe,Q327591,Independent (politician),177,Q428598,General election 2005,6
,Graham Walker,Q327591,Independent (politician),58,Q428598,General election 2005,7
Q390737,Don Foster,Q9624,Liberal Democrats (UK),23372,Q590740,General election 2001,1
Q457673,Ashley Fox,Q9626,Conservative Party (UK),13478,Q590740,General election 2001,2
,Marilyn Hawkings,Q9630,Labour Party (UK),7269,Q590740,General election 2001,3
,Michael Boulton,Q9669,Green Party of England and Wales,1469,Q590740,General election 2001,4
,Andrew Tettenborn,Q10647,UK Independence Party,708,Q590740,General election 2001,5
Q390737,Don Foster,Q9624,Liberal Democrats (UK),26169,Q918503,General election 1997,1
,Alison McNair,Q9626,Conservative Party (UK),16850,Q918503,General election 1997,2
,Tim Bush,Q9630,Labour Party (UK),8828,Q918503,General election 1997,3
,Tony Cook,Q278315,Referendum Party,1192,Q918503,General election 1997,4
,Richard Scrase,Q9669,Green Party of England and Wales,580,Q918503,General election 1997,5
,Peter Sandell,Q10647,UK Independence Party,315,Q918503,General election 1997,6
,Nicholas Pullen,Q491782,Natural Law Party,55,Q918503,General election 1997,7
Q390737,Don Foster,Q9624,Liberal Democrats (UK),25718,Q543609,General election 1992,1
Q23368,Chris Patten,Q9626,Conservative Party (UK),21950,Q543609,General election 1992,2
,Pamela Richards,Q9630,Labour Party (UK),4102,Q543609,General election 1992,3
,Duncan McCanlis,Q9669,Green Party of England and Wales,433,Q543609,General election 1992,4
,May Barker,Q3360801,"Liberal Party (UK, 1989)",172,Q543609,General election 1992,5
Q4707775,Alan Sked,Q4774172,Anti-Federalist League,117,Q543609,General election 1992,6
,John Rumming,Q327591,Independent (politician),79,Q543609,General election 1992,7
Q23368,Chris Patten,Q9626,Conservative Party (UK),23515,Q918472,General election 1987,1
,Malcolm Dean,Q40052,Social Democratic Party (UK),22103,Q918472,General election 1987,2
,Jenny Smith,Q9630,Labour Party (UK),5507,Q918472,General election 1987,3
Q5262431,Derek Wall,Q3499324,Green Party (UK),687,Q918472,General election 1987,4
Q23368,Chris Patten,Q9626,Conservative Party (UK),22544,Q918466,General election 1983,1
,Malcolm Dean,Q40052,Social Democratic Party (UK),17240,Q918466,General election 1983,2
,Adrian Pott,Q9630,Labour Party (UK),7259,Q918466,General election 1983,3
,Don Grimes,Q15980875,Ecology Party,441,Q918466,General election 1983,4
,R. S. Wandle,,,319,Q918466,General election 1983,5
,Gilbert Young,Q8035785,World Government Party,67,Q918466,General election 1983,6
Q23368,Chris Patten,Q9626,Conservative Party (UK),23025,Q918450,General election 1979,1
Q5112833,Christopher Mayhew,Q622441,Liberal Party (UK),13913,Q918450,General election 1979,2
,M. Baber,Q9630,Labour Party (UK),11407,Q918450,General election 1979,3
,Don Grimes,Q15980875,Ecology Party,1082,Q918450,General election 1979,4
,Thomas Mundy,Q158093,National Front (United Kingdom),206,Q918450,General election 1979,5
Q5342036,Edward Brown,Q9626,Conservative Party (UK),18470,Q918508,General election October 1974,1
Q5112833,Christopher Mayhew,Q622441,Liberal Party (UK),16348,Q918508,General election October 1974,2
Q6742189,Malcolm Bishop,Q9630,Labour Party (UK),14011,Q918508,General election October 1974,3
,John Vernon Kemp,Q7887704,United Democratic Party (UK),150,Q918508,General election October 1974,4
Q5342036,Edward Brown,Q9626,Conservative Party (UK),20920,Q119524,General election February 1974,1
,Peter Downey,Q622441,Liberal Party (UK),15738,Q119524,General election February 1974,2
Q6742189,Malcolm Bishop,Q9630,Labour Party (UK),14396,Q119524,General election February 1974,3
,H. B. de Laterriere,Q6016507,Independent Conservative,204,Q119524,General election February 1974,4
,Gilbert Young,Q8035785,World Government Party,118,Q119524,General election February 1974,5
Q5342036,Edward Brown,Q9626,Conservative Party (UK),22344,Q918442,General election 1970,1
Q5241317,David Young,Q9630,Labour Party (UK),16493,Q918442,General election 1970,2
,Roger H. Crowther,Q622441,Liberal Party (UK),5957,Q918442,General election 1970,3
,Gilbert Young,Q8035785,World Government Party,840,Q918442,General election 1970,4
Q5342036,Edward Brown,Q9626,Conservative Party (UK),19344,Q918430,General election 1966,1
,Frederick S. Moorhouse,Q9630,Labour Party (UK),18544,Q918430,General election 1966,2
,Roger H. Crowther,Q622441,Liberal Party (UK),7095,Q918430,General election 1966,3
Q5342036,Edward Brown,Q9626,Conservative Party (UK),22255,Q220208,General election 1964,1
,Frederick S. Moorhouse,Q9630,Labour Party (UK),16464,Q220208,General election 1964,2
,Brian R. Pamplin,Q622441,Liberal Party (UK),8795,Q220208,General election 1964,3
,Gilbert Young,Q8035785,World Government Party,318,Q220208,General election 1964,4
Q13530024,James Pitman,Q9626,Conservative Party (UK),24048,Q918420,General election 1959,1
